"S5","X.G4.3.6.5.","X.G4.1.7.3.","S4","X.G4.2.4.1.","X.G4.3.6.6.","X.G1.1.1.5.","X.G4.2.1.2.","pssm257","X.G4.3.1.5.","X.G1.1.1.13.","X.G4.3.2.14.","LC5.3","X.G4.1.5.1.","X.G4.3.2.12.","X.G4.3.4.12.","X.G4.3.6.11.","X.G4.2.7.3.","X.G4.3.4.11.","LC3.3","X.G4.3.1.6.","LC4.3","X.G4.2.1.1.","X.G4.3.5.10.","X.G4.2.8.2.","X.G4.3.5.1.","X.G4.2.3.2.","X.G4.2.8.3.","LC8.3","X.G4.3.7.9.","Output"
0.019021739,22.01087,25.815217,0.065217391,22.070845,19.021739,4.076087,19.891008,0.1474,17.391304,4.347826,100,0.248217391,13.315217,69.021739,69.021739,69.565217,16.076294,79.619565,0.150434783,24.728261,0.161065217,20.980926,67.663043,22.615804,9.51087,24.250681,23.160763,0.001869565,41.847826,-1
0.015923567,21.33758,26.11465,0.057324841,34.185304,22.292994,3.821656,18.530351,0.0522,27.070064,3.503185,100,0.170435897,8.917197,76.751592,76.751592,74.522293,14.696486,75.796178,0.066589744,22.611465,0.075692308,24.28115,77.388535,25.559105,0.636943,21.72524,23.642173,0.105902439,47.133758,-1
0.016085791,20.643432,21.447721,0.048257373,27.688172,30.02681,4.825737,24.731183,0.1592,25.201072,3.753351,99.463807,0.124478261,11.260054,79.088472,79.088472,75.603217,13.172043,74.798928,0.126304348,21.983914,0.074782609,20.430108,73.190349,28.494624,0.80429,27.956989,22.311828,0.09354902,47.453083,-1
0.01426025,25.668449,22.994652,0.037433155,23.75,28.698752,3.565062,21.25,0.1137,25.490196,5.16934,99.643494,0.113071429,10.516934,76.648841,76.648841,75.757576,12.678571,72.727273,0.195771429,24.59893,0.133628571,19.107143,88.770053,32.321429,0.356506,25.714286,17.5,0.157352113,45.454545,-1
0.013872832,24.855491,23.236994,0.025433526,25.925926,26.011561,3.468208,19.907407,0.1972,25.895954,5.086705,99.653179,0.113805556,15.028902,77.34104,77.34104,74.219653,15.277778,74.682081,0.221083333,23.699422,0.193231481,26.273148,78.265896,26.041667,0.346821,23.37963,17.824074,0.268743119,46.820809,-1
0.022900763,24.80916,22.137405,0.072519084,34.482759,27.480916,4.580153,18.390805,0.0442,25.19084,3.053435,99.618321,0.18790625,8.778626,67.557252,67.557252,77.480916,7.279693,76.335878,0.1861875,24.045802,0.03640625,20.306513,73.664122,35.249042,2.671756,22.222222,20.306513,0.168921053,52.290076,-1
0.01497006,23.053892,26.946108,0.056886228,30.630631,22.45509,0.598802,15.615616,0.0637,22.754491,5.688623,100,0.001365854,8.682635,68.562874,68.562874,79.640719,13.813814,81.736527,0.141,27.844311,0.146634146,22.222222,62.57485,29.429429,0.598802,20.720721,17.417417,0.003297872,46.107784,-1
0.017647059,31.764706,18.823529,0.073529412,29.498525,20.294118,2.352941,18.879056,0.0689,21.176471,4.117647,99.411765,0.006428571,9.705882,78.529412,78.529412,77.647059,11.20944,74.117647,0.134690476,27.647059,0.10252381,24.778761,78.529412,30.678466,2.058824,21.828909,15.634218,0.002673913,49.705882,-1
0.0109375,17.34375,24.0625,0.0328125,31.924883,24.6875,1.5625,19.405321,0.0908,25.78125,6.09375,100,0.0175375,11.25,73.28125,73.28125,73.90625,14.710485,76.71875,0.02895,21.71875,0.002825,25.039124,75.78125,29.733959,1.25,22.378717,19.092332,0.128525,54.21875,-1
0.016901408,27.887324,20.28169,0.070422535,29.096045,23.098592,2.816901,15.819209,0.1681,27.042254,5.352113,99.15493,0.20025,9.859155,69.577465,69.577465,74.647887,12.711864,74.929577,0.157,21.971831,0.038772727,24.293785,73.239437,33.333333,1.690141,17.231638,12.711864,0.001234043,48.450704,-1
0.009562842,22.404372,23.087432,0.023224044,28.72777,24.31694,3.142077,17.783858,0.2625,26.092896,5.874317,99.863388,0.149879121,11.065574,74.31694,74.31694,73.087432,12.311902,75.68306,0.124615385,21.584699,0.171901099,22.435021,72.404372,30.779754,1.912568,22.708618,12.859097,0.119210526,50.819672,-1
0.034482759,18.103448,19.827586,0.086206897,16.883117,27.586207,6.465517,27.272727,0.0377,27.155172,1.724138,99.137931,0.261655172,20.258621,80.603448,80.603448,62.068966,16.017316,72.844828,0.128344828,21.12069,0.299482759,24.242424,84.913793,22.510823,2.155172,32.900433,24.675325,0.022655172,47.844828,-1
